Номер	Описание неисправности	SPN	FMI	Blink-Code				OBD2
620	Клапан воздушной заслонки в открытом положении в течение короткого времени находится в свободном состоянии	51	23	3	6	2	P026C	P0000
621	Высокое напряжение датчика клапана воздушной заслонки	51	13	3	6	5	P026D	P0000
622	Низкое напряжение датчика клапана воздушной заслонки	51	14	3	6	5	P026E	P0000
623	Ослабление клапана воздушной заслонки	51	11	3	6	4	P026F	P0000
624	Напряжение датчика температуры верхнего уровня клапана воздушной заслонки выше максимального значения	1636	3	2	3	6	P0270	P0113
625	Напряжение датчика температуры верхнего уровня клапана воздушной заслонки ниже минимального значения	1636	4	2	3	6	P0271	P0112
626	Незамкнутая цепь турбины	1188	5	2	3	7	P0272	P0045
627	Превышение оборотов турбины	103	0	2	3	7	P0273	P0049
628	Перегрев актуатора турбины	1188	6	2	3	7	P0274	P0045
629	Короткое замыкание источника питания турбины	1188	3	2	3	7	P0275	P0048
630	Короткое замыкание земли турбины	1188	4	2	3	7	P0276	P0047
631	Ошибка связи CAN сигнала датчика температуры нижнего уровня катализатора SCR	4363	19	4	4	8	P0277	U0113
632	Напряжение сигнала датчика температуры нижнего уровня катализатора SCR выше масимального предела	4363	3	4	4	8	P0278	P0428
633	Напряжение сигнала датчика температуры нижнего уровня катализатора SCR ниже минимального предела	4363	4	4	4	8	P0279	P0427
634	Ошибка связи CAN сигнала датчика температуры верхнего уровня катализатора SCR	4360	19	4	4	8	P027A	U0113
635	Напряжение сигнала датчика температуры верхнего уровня катализатора SCR выше масимального предела	4360	3	4	4	8	P027B	P042D
636	Напряжение сигнала датчика температуры верхнего уровня катализатора SCR ниже минимального предела	4360	4	4	4	8	P027C	P042C
637	Низкий уровень мочевины	1761	2	4	4	5	P027D	P203F
638	Электроток распылителя форсунки мочевины SCR выше максимального предела	3361	5	4	5	3	P027E	P2049
639	Перегрев распылителя форсунки мочевины SCR	3361	6	4	5	3	P027F	P3009
640	Короткое замыкание источника питания актуатора распылителя форсунки мочевины SCR	3361	15	4	5	3	P0280	P2049
641	Короткое замыкание источника питания актуатора распылителя форсунки мочевины SCR	3361	3	4	5	3	P0281	P2049
642	Короткое замыкание земли актуатора распылителя форсунки мочевины SCR	3361	4	4	5	3	P0282	P2048
643	Короткое замыкание земли актуатора распылителя форсунки мочевины SCR	3361	17	4	5	3	P0283	P2047
644	Ошибка обогрева мочевины	523019	11	4	3	3	P0284	P3025
645	Неверная обратная связь сопротивления провода обогрева трубопровода мочевины (от насоса к баку)	4357	2	4	6	1	P0285	P3069
646	Незамкнутая цепь сопротивления провода обогрева трубопровода мочевины (от насоса к баку)	4357	5	4	6	1	P0286	P3070
647	Короткое замыкание земли сопротивления провода обогрева трубопровода мочевины (от насоса к баку)	4357	6	4	6	1	P0287	P3071
648	Незамкнутая цепь реле обогрева трубопровода мочевины (от насоса к баку)	4346	5	4	6	1	P0288	P3021
649	Перегрев реле обогрева трубопровода мочевины (от насоса к баку)	4346	6	4	6	1	P0289	P3072
650	Короткое замыкание источника питания реле обогрева трубопровода мочевины (от насоса к баку)	4346	3	4	6	1	P028A	P3023
651	Короткое замыкание земли реле обогрева трубопровода мочевины (от насоса к баку)	4346	4	4	6	1	P028B	P3022
652	Неверная обратная связь сопротивления провода обогрева трубопровода мочевины (от насоса с форсунке)	4356	2	4	6	2	P028C	P3073
653	Незамкнутая цепь сопротивления провода обогрева трубопровода мочевины (от насоса к форсунке)	4356	5	4	6	2	P028D	P3074
654	Короткое замыкание земли сопротивления провода обогрева трубопровода мочевины (от насоса к форсунке)	4356	6	4	6	2	P028E	P3075
655	Незамкнутая цепь реле обогрева трубопровода мочевины (от насоса к форсунке)	4344	5	4	6	2	P028F	P3024
656	Перегрев реле обогрева трубопровода мочевины (от насоса к форсунке)	4344	6	4	6	2	P0290	P3076
657	Короткое замыкание иточника питания реле обогрева трубопровода мочевины (от насоса к форсунке)	4344	3	4	6	2	P0291	P3027
658	Короткое замыкание земли реле обогрева трубопровода мочевины (от насоса к форсунке)	4344	4	4	6	2	P0292	P3026
659	Короткое замыкание источника питания главного реле обогрева мочевины	523003	20	4	6	3	P0293	P3077
660	Незамкнутая цепь главного реле обогрева мочевины	523003	5	4	6	3	P0294	P3043
661	Перегрев главного реле обогрева мочевины	523003	6	4	6	3	P0295	P3044
662	Короткое замыкание источника питания главного реле обогрева мочевины	523003	3	4	6	3	P0296	P3045
663	Короткое замыкание земли главного реле обогрева мочевины	523003	4	4	6	3	P0297	P3046
664	Неверная обратная связь сопротивления провода обогрева трубопровода мочевины (от бака к насосу)	4354	2	4	6	4	P0298	P3078
665	Незамкнутая цепь сопротивления провода обогрева трубопровода мочевины (от бака к насосу)	4354	5	4	6	4	P0299	P3079
666	Короткое замыкание земли провода сопротивления обогрева трубопровода мочевины (от бака к насосу)	4354	6	4	6	4	P029A	P3080
667	Незамкнутая цепь реле обогрева трубопровода мочевины (от бака к насосу)	4340	5	4	6	4	P029B	P3028
668	Перегрев реле обогрева трубопровода мочевины (от бака к насосу)	4340	6	4	6	4	P029C	P3081
669	Короткое замыкание источника питания реле обогрева трубопровода мочевины (от бака к насосу)	4340	3	4	6	4	P029D	P3032
670	Короткое замыкание земли реле обогрева трубопровода мочевины (от бака к насосу)	4340	4	4	6	4	P029E	P3031
671	Неверная обратная связь сопротивления провода обогрева насоса мочевины	4342	14	4	6	5	P029F	P3082
672	Незамкнутая цепь провода сопротивления обогрева насоса мочевины	4342	2	4	6	5	P02A0	P3083
673	Короткое замыкание земли провода сопротивления обогрева насоса мочевины	4342	4	4	6	5	P02A1	P3084
674	Незамкнутая цепь реле обогрева насоса мочевины	4355	2	4	6	5	P02A2	P3033
675	Перегрев реле обогрева трубопровода насоса мочевины	4355	6	4	6	5	P02A3	P3085
676	Короткое замыкание источника питания реле обогрева трубопровода насоса мочевины	4355	3	4	6	5	P02A4	P3037
677	Короткое замыкание земли реле обгрева трубопровода насоса мочевины	4355	4	4	6	5	P02A5	P3036
678	Незамкнутая цепь электромагнитного клапана обогрева бака мочевины	3363	5	4	6	6	P02A6	P3016
679	Перегрев электромагнитного клапана обогрева бака мочевины	3363	0	4	6	6	P02A7	P3018
680	Короткое замыкание источника питания электромагнитного клапана обогрева бака мочевины	3363	3	4	6	6	P02A8	P3020
681	Короткое замыкание земли электромагнитного клапана обогрева бака мочевины	3363	4	4	6	6	P02A9	P3019
682	Ошибка отклонения оборотов двигателя насоса мочевины	4375	2	4	5	1	P02AA	P3001
683	Ошибка отклонения оборотов двигателя на продолжительное время двигателя насоса мочевины	4375	14	4	5	1	P02AB	P3086
684	Отказ двигателя насоса мочевины	4375	11	4	5	1	P02AC	P3002
685	Незамкнутая цепь актутатора двигателя насоса мочевины	4375	5	4	5	1	P02AD	P3006
686	Перегрев актуатора двигателя насоса мочевины	4375	6	4	5	1	P02AE	P3003
687	Короткое замыкание источник питания актуатора двигателя насоса мочевины	4375	3	4	5	1	P02AF	P3004
688	Короткое замыкание земли актуатора двигателя насоса мочевины	4375	4	4	5	1	P02B0	P3005
689	Напряжение насоса мочевины выше максимального предела	1387	15	4	5	1	P02B1	P3007
690	Напряжение насоса мочевины ниже минимального предела	1387	17	4	5	1	P02B2	P3007
691	Ошибка связи CAN сигнала напряжения насоса мочевины	1387	19	4	5	1	P02B3	P204E
692	Сигнал напряжения датчика напряжения насоса мочевины выше максимального предела	1387	3	4	5	1	P02B4	P204D
693	Сигнал напряжения датчика напряжения насоса мочевины ниже минимального предела	1387	4	4	5	1	P02B5	P204C
694	Незамкнутая цепь верхнего конца актуатора реверсивного клапана мочевины	4376	20	4	5	2	P02B6	P3047
695	Перегрев верхнего конца актуатора реверсивного клапана мочевины	4376	21	4	5	2	P02B7	P3048
696	Короткое замыкание источника питания верхнего конца актуатора реверсивного клапана мочевины	4376	15	4	5	2	P02B8	P3049
697	Короткое замыкание земли верхнего конца актуатора реверсивного клапана мочевины	4376	17	4	5	2	P02B9	P3050
698	Незамкнутая цепь актуатора реверсивного клапана мочевины	4376	5	4	5	2	P02BA	P3010
699	Перегрев актатора реверсивного клапана мочевины	4376	6	4	5	2	P02BB	P3011
700	Короткое замыкание источника питания актуатора реверсивного клапана мочевины	4376	3	4	5	2	P02BC	P3013
701	Короткое замыкание земли актуатора реверсивного клапана мочевины	4376	4	4	5	2	P02BD	P3012
702	Ошибка информации CAN температуры бака мочевины	3031	19	4	4	6	P02BE	P205A
703	Сигнал напряжения датчика температуры бака мочевины выше максимального предела	3031	3	4	4	6	P02BF	P205D
704	Сигнал напряжения датчика температуры бака мочевины ниже минимального предела	3031	4	4	4	6	P02C0	P205C
705	Сигнал датчика температуры бака мочевины выше максимального предела	3031	0	4	4	6	P02C1	P205B
706	Сигнал датчика температуры бака мочевины ниже минимального предела	3031	1	4	4	6	P02C2	P205B
707	Ошибка связи сигнала скорости CAN	84	19	2	2	4	P02C3	U1405
708	Скорость превышает масимальный предел	84	0	2	2	4	P02C4	P0279
709	Неверный сигнал напряжения датчика скорости	84	14	2	2	4	P02C5	P2162
710	Расхождение скорости автомобиля с оборотами двигателя и крутящим моментом	84	2	2	2	4	P02C6	P0501
711	Сигнал напряжения датчика скорости выше максимального предела	84	3	2	2	4	P02C7	P0503
712	Сигнал напряжения датчика скорости ниже минимального предела	84	4	2	2	4	P02C8	P0502
713	Ширина импульса датчика скорости выше максимального предела	1624	3	2	2	5	P02C9	P2158
714	Ширина импульса датчика скорости ниже минимального предела	1624	4	2	2	5	P02CA	P2160
715	Цикл сигнала датчика датчика скорости ниже минимального предела	1624	8	2	2	5	P02CB	P2161
716	Незамкнутая цепь сигнальной лампы	520281	5	3	3	6	P02CC	P1613
717	Перегрев сигнальной лампы	520281	6	3	3	6	P02CD	P1614
718	Короткое замыкание источника питания сигнальной лампы	520281	3	3	3	6	P02CE	P1615
719	Короткое замыкание земли сигнальной лампы	520281	4	3	3	6	P02CF	P1616
720	Неверный сигнал торможения автомобиля	597	11	0	0	0	P02D0	
721	Неверный сигнал торможения автомобиля	597	7	2	2	3	P02D1	
722	Неверный сигнал торможения автомобиля	597	2	2	2	3	P02D2	
723	DEC1 Ошибка истечения времени ожидания приема информации DEC1 CAN	522062	19	0	0	0	P02D3	
724	DM19DsBAMPacket Ошибка истечения времени ожидания передачи CAN DM19Ds BAM Packet	522059	19	2	2	3	P02D4	
725	DM19Ds Ошибка истечения времени ожидания подачи CAN DM190Ds	522059	11	0	0	0	P02D5	
726	DM19DsPacketPacket Ошибка истечения времени ожидания подачи CAN DM19Ds из Packet в Packet	522059	31	0	0	0	P02D6	
727	DM19UsBAMPacket Ошибка истечения времени ожидания подачи CAN DM19Us BAM в Packet	522060	19	0	0	0	P02D7	
728	DM19Us Ошибка истечения времени ожидания подачи CAN DM19Us	522060	11	0	0	0	P02D8	
729	DM19UsPacketPacket Ошибка истечения времени ожидания подачи CAN DM19Us из Packet в Packet	522060	31	0	0	0	P02D9	
730	EBC1 Ошибка объема информации получаемой CAN EBC1	522013	14	0	0	0	P02DA	
731	ETC1 Ошибка объема информации получаемой CAN ETC1	522022	19	4	2	5	P02DB	
732	ETC2 Ошибка объема информации получаемой CAN ETC2	522023	14	4	2	5	P02DC	
733	ETC7 Ошибка истечение времени ожидания CAN принимаемой ETC7	522063	19	0	0	0	P02DD	
734	Ошибка истечения времени ожидания CAN приема старта вентилятора	977	19	4	2	7	P02DE	
735	CANFIC Ошибка истечения времени ожидания CAN подачи FIC	522026	19	0	0	0	P02DF	
736	CANMFD1 Ошибка истечения времени ожидания CAN подачи MFD1	522064	19	0	0	0	P02E0	
737	BAM ошибка истечения времени ожидания BAM конфигурации ретардера двигателя, полчаемой CAN	522029	19	0	0	0	P02E1	
738	Packet Ошибка истечения времени ожидания Packet конфигурации ретардера двигателя, получаемой CAN	522029	14	0	0	0	P02E2	
739	CCVS Ошибка объема информации CCVS, получаемой CAN	522030	14	0	0	0	P02E3	
740	Ошибка положения Т50, принимаемой CAN	522065	0	0	0	0	P02E4	
741	TCO1 Ошибка объема инфрмации ТСО1, принимаемой CAN	522032	14	0	0	0	P02E5	
742	TimeDate Ошибка уровня информации TimeDate, принимаемой CAN	522034	14	0	0	0	P02E6	
743	Ошибка блокировки запуска двигателя, исходящей от CAN	2900	2	0	0	0	P02E7	
744	TSC1AE Ошибка объема информации TSC1AE, принимаемой CAN	522035	14	4	1	4	P02E8	
745	TSC1ARОшибка объема информации TSC1AR, принимаемой CAN	522036	14	4	1	4	P02E9	
746	TSC1DEОшибка объема информации TSC1DE, принимаемой CAN	522037	14	4	1	5	P02EA	
747	TSC1DR Ошибка объема информации TSC1DR, принимаемой CAN	522038	14	4	1	5	P02EB	
748	TSC1PE Ошибка объема информации TSC1PE, принимаемой CAN	522039	14	4	1	6	P02EC	
749	TSC1TE Ошибка объема информации TSC1TE, принимаемой CAN	522040	14	4	1	7	P02ED	
750	TSC1TR Ошибка объема информации TSC1TR, принимаемой CAN	522041	14	4	1	7	P02EE	
751	TSC1VE Ошибка объема информации TSC1VE, принимаемой CAN	522042	14	4	1	8	P02EF	
752	TSC1VR Ошибка объема информации TSC1VR, принимаемой CAN	522043	14	4	1	8	P02F0	
753	Ошибка блокировки двигателя после остановки, посылаемой CAN	520203	19	3	4	3	P02F1	
754	Ошибка блокировки двигателя после запуска, посылаемой CAN	520203	14	3	4	3	P02F2	
755	короткое замыкание земли конденсатора впрыска 1	520214	14	1	5	1	P02F3	
756	короткое замыкание земли конденсатора впрыска 2	520287	14	1	5	1	P02F4	
757	Ошибка проверки короткого замыкания земли конденсатора впрыска 1	520214	11	4	2	6	P02F5	
758	Ошибка проверки короткого замыкания земли конденсатора впрыска 2	520287	11	4	2	6	P02F6	
759	В режиме Overrun время включение питания форсунки превосходит разрешенный предел (Перегрев защиты форсунки)	1108	15	2	6	1	P02F7	
760	Ошибка открытия клапана PRV （должен открыться, в реальности не открывается)	520265	11	1	3	6	P02F8	
761	ТНВД всегда работает при максимальном уровне топлива	520265	14	1	3	6	P02F9	
